belongs_to_collection,budget,id,original_title,popularity,revenue,runtime,vote_average,vote_count,revenue_mil,budget_mil,drama,comedy,thriller,action,romance,adventure,family,release_2010s,release_2000s,release_1990s,release_1980s_below,overview_vader,tagline_vader
0,27000,2292,Clerks,10.513367,3151130.0,92.0,7.4,769.0,3.15113,0.027,0,1,0,0,0,0,0,0,0,1,0,0.4588,-0.2755
1,25000000,1909,Don Juan DeMarco,7.438934,22200000.0,97.0,6.3,184.0,22.2,25.0,1,1,0,0,1,0,0,0,0,1,0,0.8573,0.8516
1,55000000,8984,Disclosure,11.812244,214015089.0,123.0,5.9,217.0,214.015089,55.0,1,0,1,0,1,0,0,0,0,1,0,-0.3182,0.0
0,16000000,8467,Dumb and Dumber,9.844558000000001,247275374.0,107.0,6.5,1894.0,247.275374,16.0,0,1,0,0,0,0,0,0,0,1,0,-0.0772,-0.296
1,18000000,522,Ed Wood,11.720358000000001,5887457.0,127.0,7.3,639.0,5.887457,18.0,1,1,0,0,0,0,0,0,0,1,0,0.7579,0.1779
1,15000000,27303,Hideaway,8.182165,12201255.0,103.0,5.0,24.0,12.201255,15.0,1,0,1,0,0,0,0,0,0,1,0,-0.97,0.2755
1,700000,14275,Hoop Dreams,9.47666,7830611.0,171.0,7.7,91.0,7.830611,0.7,0,0,0,0,0,0,0,0,0,1,0,0.6705,0.4215
1,5000000,1024,Heavenly Creatures,9.438042,3049135.0,99.0,6.9,299.0,3.049135,5.0,1,0,0,0,0,0,0,0,0,1,0,0.7184,-0.7845
1,10500000,17207,Houseguest,2.688562,26325256.0,113.0,6.0,17.0,26.325256,10.5,0,1,0,0,0,0,1,0,0,1,0,0.1779,0.0
0,60000000,628,Interview with the Vampire,11.970205,223664608.0,123.0,7.2,1558.0,223.664608,60.0,0,0,0,0,1,0,0,0,0,1,0,-0.5267,0.0
1,14000000,87729,Jefferson in Paris,1.596058,2474000.0,139.0,5.2,10.0,2.474,14.0,1,0,0,0,1,0,0,0,0,1,0,0.4215,0.8271
1,60000000,6280,Junior,6.710215,37000000.0,109.0,4.7,381.0,37.0,60.0,0,1,0,0,1,0,1,0,0,1,0,0.2023,0.0
0,11000000,11,Star Wars,42.149696999999996,775398007.0,121.0,8.1,6778.0,775.398007,11.0,0,0,0,1,0,1,0,0,0,0,1,0.8979,0.0
1,2000000,18183,Como agua para chocolate,4.126083,21665468.0,105.0,6.6,70.0,21.665468,2.0,1,0,0,0,1,0,0,0,0,1,0,-0.5789,0.4588
1,30000000,4476,Legends of the Fall,12.199047,160638883.0,133.0,7.2,636.0,160.638883,30.0,1,0,0,0,1,1,0,0,0,1,0,-0.0772,0.3818
1,17000000,28313,Losing Isaiah,7.698525999999999,7603766.0,106.0,6.4,28.0,7.603766,17.0,1,0,0,0,0,0,0,0,0,1,0,-0.6808,0.0
1,45000000,3036,Frankenstein,14.287753,112006296.0,123.0,6.1,272.0,112.006296,45.0,1,0,0,0,1,0,0,0,0,1,0,-0.8834,0.128
1,6,17402,Miami Rhapsody,1.1372659999999999,5.0,95.0,5.6,7.0,5e-06,6e-06,0,1,0,0,1,0,0,0,0,1,0,0.3506,0.8519
1,31000000,1945,Nell,5.930957,106683817.0,112.0,6.1,128.0,106.683817,31.0,1,0,1,0,0,0,0,0,0,1,0,0.5994,0.0
1,34000000,241,Natural Born Killers,11.226856,50282766.0,119.0,6.9,927.0,50.282766,34.0,1,0,1,0,0,0,0,0,0,1,0,-0.3818,0.0
1,50000000,6950,Outbreak,13.676444,189859560.0,127.0,6.4,522.0,189.85956,50.0,1,0,1,1,0,0,0,0,0,1,0,-0.7579,0.0258
1,16000000,101,Léon,20.477329,45284974.0,110.0,8.2,4293.0,45.284974,16.0,1,0,1,0,0,0,0,0,0,1,0,-0.4854,0.34
1,11000000,63020,The Perez Family,1.4335440000000002,2832826.0,113.0,6.6,9.0,2.832826,11.0,1,1,0,0,1,0,0,0,0,1,0,0.3716,0.6369
1,8000000,680,Pulp Fiction,140.95023600000002,213928762.0,154.0,8.3,8670.0,213.928762,8.0,0,0,1,0,0,0,0,0,0,1,0,0.1531,0.0
1,400000,25296,Pushing Hands,1.638622,152322.0,105.0,6.1,9.0,0.152322,0.4,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0
1,32000000,12106,The Quick and the Dead,7.54701,18552460.0,107.0,6.2,431.0,18.55246,32.0,0,0,0,1,0,0,0,0,0,1,0,-0.4404,0.0
1,22000000,161495,Roommates,3.395867,12400000.0,108.0,6.4,7.0,12.4,22.0,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0
1,15000000,3586,Prêt-à-Porter,6.2594330000000005,11300653.0,133.0,5.3,33.0,11.300653,15.0,1,1,0,0,0,0,0,0,0,1,0,-0.5267,-0.8225
0,35000000,22586,The Swan Princess,8.910461999999999,9771658.0,89.0,6.5,251.0,9.771658,35.0,0,0,0,0,0,0,0,0,0,1,0,0.7942,0.6124
1,45000000,2636,The Specialist,10.388183,170362582.0,110.0,5.5,317.0,170.362582,45.0,0,0,1,1,0,0,0,0,0,1,0,-0.9618,-0.7506
1,55000000,2164,Stargate,13.328923999999999,196567262.0,121.0,6.8,942.0,196.567262,55.0,0,0,0,1,0,1,0,0,0,1,0,0.5106,0.0
0,22000000,11395,The Santa Clause,9.665424,189833357.0,97.0,6.3,501.0,189.833357,22.0,1,1,0,0,0,0,1,0,0,1,0,0.5106,0.0
1,25000000,278,The Shawshank Redemption,51.645403,28341469.0,142.0,8.5,8358.0,28.341469,25.0,1,0,0,0,0,0,0,0,0,1,0,-0.7003,-0.128
1,25000000,9067,Tank Girl,7.602086999999999,4064495.0,98.0,5.5,140.0,4.064495,25.0,0,1,0,1,0,0,0,0,0,1,0,-0.4019,0.5267
0,38000000,193,Star Trek: Generations,8.105708,120000000.0,118.0,6.4,461.0,120.0,38.0,0,0,1,1,0,1,0,0,0,1,0,-0.8126,0.3612
1,6000000,25066,Tales from the Hood,2.86007,12000000.0,98.0,5.4,33.0,12.0,6.0,0,0,1,0,0,0,0,0,0,1,0,-0.8316,0.0
1,11000000,1587,What's Eating Gilbert Grape,10.3919,10032765.0,118.0,7.5,943.0,10.032765,11.0,1,0,0,0,1,0,0,0,0,1,0,0.8126,0.6369
1,30000000,9271,Virtuosity,5.1883989999999995,24048000.0,106.0,5.4,163.0,24.048,30.0,0,0,1,1,0,0,0,0,0,1,0,-0.765,0.5267
1,17000000,2064,While You Were Sleeping,15.783615,182057016.0,103.0,6.5,340.0,182.057016,17.0,1,1,0,0,1,0,0,0,0,1,0,-0.5951,0.6369
1,3000000,236,Muriel's Wedding,5.254847,15119639.0,106.0,6.9,104.0,15.119639,3.0,1,1,0,0,1,0,0,0,0,1,0,0.872,0.6705
0,15000000,3049,Ace Ventura: Pet Detective,11.247957000000001,107217396.0,86.0,6.4,1684.0,107.217396,15.0,0,1,0,0,0,0,0,0,0,1,0,-0.2244,0.6696
1,5000000,10497,Bitter Moon,11.298195,1862805.0,139.0,7.0,115.0,1.862805,5.0,1,0,1,0,1,0,0,0,0,1,0,0.9387,0.0
0,62000000,9331,Clear and Present Danger,7.5132449999999995,215887717.0,141.0,6.4,390.0,215.887717,62.0,1,0,1,1,0,0,0,0,0,1,0,-0.8689,-0.8316
1,45000000,10731,The Client,15.263829000000001,117615211.0,119.0,6.4,287.0,117.615211,45.0,1,0,1,0,0,0,0,0,0,1,0,-0.4939,0.0
0,15000000,9495,The Crow,15.799335999999998,94000000.0,102.0,7.3,980.0,94.0,15.0,0,0,1,1,0,0,0,0,0,1,0,-0.9595,0.6369
0,46000000,888,The Flintstones,15.019585999999999,341631208.0,91.0,5.0,559.0,341.631208,46.0,0,1,0,0,0,0,1,0,0,1,0,0.6249,0.0
1,55000000,13,Forrest Gump,48.307194,677945399.0,142.0,8.2,8147.0,677.945399,55.0,1,1,0,0,1,0,0,0,0,1,0,0.9813,0.0
1,6000000,712,Four Weddings and a Funeral,8.990345,254700832.0,117.0,6.6,654.0,254.700832,6.0,1,1,0,0,1,0,0,0,0,1,0,0.0,0.4404
1,45000000,10879,I Love Trouble,3.570874,61947267.0,123.0,5.3,41.0,61.947267,45.0,0,1,0,1,1,0,0,0,0,1,0,-0.1531,0.7693
0,45000000,8587,The Lion King,21.605760999999998,788241776.0,89.0,8.0,5520.0,788.241776,45.0,1,0,0,0,0,0,1,0,0,1,0,-0.4215,0.7579
1,35000000,1689,Little Buddha,5.681522,4858139.0,140.0,6.0,76.0,4.858139,35.0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
0,14000000,11596,New Nightmare,9.860522,18090181.0,112.0,6.4,297.0,18.090181,14.0,0,0,1,0,0,0,0,0,0,1,0,-0.4003,0.0
0,23000000,854,The Mask,14.134879999999999,351583407.0,101.0,6.6,2550.0,351.583407,23.0,0,1,0,0,1,0,0,0,0,1,0,-0.8176,0.5574
0,30000000,36593,The Naked Gun 33⅓: The Final Insult,10.587232,51132598.0,83.0,6.4,535.0,51.132598,30.0,0,1,0,0,0,0,0,0,0,1,0,-0.8779,-0.7901
1,11500000,2788,Reality Bites,6.5145919999999995,20079850.0,99.0,6.5,180.0,20.07985,11.5,1,0,0,0,0,0,0,0,0,1,0,0.4767,0.7717
1,8000000,10427,Red Rock West,5.137903,2000000.0,98.0,6.4,71.0,2.0,8.0,1,0,1,0,0,0,0,0,0,1,0,-0.9136,0.0
0,30000000,1637,Speed,10.859292,350448145.0,116.0,6.8,1814.0,350.448145,30.0,0,0,0,1,0,1,0,0,0,1,0,-0.705,0.3612
0,27000000,8831,Timecop,8.907074,101646581.0,99.0,5.5,288.0,101.646581,27.0,0,0,1,1,0,0,0,0,0,1,0,0.34,-0.7906
1,115000000,36955,True Lies,11.396099000000001,378882411.0,141.0,6.8,1138.0,378.882411,115.0,0,0,1,1,0,0,0,0,0,1,0,-0.9109,0.0
1,63000000,12160,Wyatt Earp,9.277147,25052000.0,191.0,6.5,203.0,25.052,63.0,1,0,0,1,0,0,0,0,0,1,0,0.8062,0.7579
1,10000000,26352,A Low Down Dirty Shame,3.0215259999999997,29392418.0,100.0,6.0,31.0,29.392418,10.0,0,1,0,1,0,0,0,0,0,1,0,-0.5859,-0.0258
1,7000000,22067,Jason's Lyric,0.912909,20851521.0,119.0,5.9,9.0,20.851521,7.0,1,0,0,0,1,0,0,0,0,1,0,0.7096,0.8126
0,35000000,11667,Street Fighter,13.584489999999999,99423521.0,102.0,4.1,330.0,99.423521,35.0,0,0,1,1,0,1,0,0,0,1,0,0.1779,0.2244
0,26000000,8011,Highlander III: The Sorcerer,6.8666339999999995,36800000.0,99.0,4.5,110.0,36.8,26.0,0,0,0,1,0,0,0,0,0,1,0,-0.91,0.0
1,8000000,2654,In the Mouth of Madness,8.497643,8946600.0,95.0,7.1,307.0,8.9466,8.0,0,0,1,0,0,0,0,0,0,1,0,-0.9355,0.4404
1,34000000,10436,The Age of Innocence,8.013617,32255440.0,139.0,7.0,172.0,32.25544,34.0,1,0,0,0,1,0,0,0,0,1,0,0.7845,0.3818
1,17080000,46094,The Air Up There,1.8962729999999999,21011500.0,107.0,5.1,42.0,21.0115,17.08,0,1,0,0,0,0,1,0,0,1,0,-0.3506,0.0
0,50000000,306,Beverly Hills Cop III,11.787784,119208989.0,104.0,5.5,445.0,119.208989,50.0,0,1,0,1,0,0,0,0,0,1,0,0.0,0.0
1,13000000,4722,Body Snatchers,6.559692999999999,428868.0,87.0,5.8,102.0,0.428868,13.0,0,0,1,0,0,0,0,0,0,1,0,0.128,0.0
1,22000000,1607,A Bronx Tale,6.115628,17287898.0,121.0,7.4,447.0,17.287898,22.0,1,0,0,0,0,0,0,0,0,1,0,-0.0516,0.0
1,13000000,117553,Calendar Girl,1.316741,2570145.0,90.0,3.7,10.0,2.570145,13.0,1,1,0,0,0,0,0,0,0,1,0,-0.4588,0.0
1,30000000,6075,Carlito's Way,8.698509,36516012.0,144.0,7.7,805.0,36.516012,30.0,1,0,1,1,0,0,0,0,0,1,0,-0.5591,0.4404
1,70000000,9350,Cliffhanger,9.830853,255000211.0,112.0,6.1,600.0,255.000211,70.0,0,0,1,1,0,1,0,0,0,1,0,0.2263,0.3182
1,40000000,2124,Color of Night,14.228963,19726050.0,121.0,5.4,117.0,19.72605,40.0,1,0,1,0,1,0,0,0,0,1,0,-0.6597,0.6124
1,6900000,9571,Dazed and Confused,6.8652,7993039.0,102.0,7.4,588.0,7.993039,6.9,1,1,0,0,0,0,0,0,0,1,0,0.4767,0.0
1,57000000,9739,Demolition Man,11.626116,159055768.0,115.0,6.4,1018.0,159.055768,57.0,0,0,0,1,0,0,0,0,0,1,0,-0.9584,-0.7947
1,30000000,9024,For Love or Money,8.468869,11146270.0,94.0,5.7,77.0,11.14627,30.0,0,1,0,0,1,0,0,0,0,1,0,0.8474,-0.4767
1,42000000,37233,The Firm,9.678367,270248367.0,154.0,6.6,513.0,270.248367,42.0,1,0,1,0,0,0,0,0,0,1,0,-0.8656,-0.6908
